dataset,predicted_fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Normal
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Sensor Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Sensor Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Normal
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Normal
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Normal
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Structural Fault
Normal,Sensor Fault
Normal,Sensor Fault
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Normal
Normal,Ambiguous (Moderate MSE)
Normal,Ambiguous (Moderate MSE)
Normal,Structural Fault
Normal,Ambiguous (Moderate MSE)
Normal,Sensor Fault
Normal,Structural Fault
Normal,Structural Fault
Normal,Structural Fault
